ROWNUM;Name;Location;Type;TypePhoto;Power;AdmArea;X_WGS;Y_WGS;GLOBALID;
574;"Часы";"Профсоюзная ул., д61 пересечение с местным проездом";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.540752";"55.65707";"92386924";
575;"Часы";"Чонгарский б-р, д4 к1, пересечение с Варшавским ш.";"КП 098-01";"";"0.125";"Южный АО";"37.618227";"55.653506";"92386925";
576;"Часы";"Свободный просп., д60/35 стр4 пересечение с Зеленым просп.";"КП 098-01";"";"0.125";"Восточный АО";"37.818976";"55.751322";"92386926";
577;"Часы";"Планерная ул., д5 пересечение с местным пр-м";"КП 098-01";"";"0.125";"Северо-Западный АО";"37.434667";"55.861794";"92386927";
578;"Часы";"Сходненская ул., д54 пересечение с Химкинским б-ром";"КП 098-01";"";"0.125";"Северо-Западный АО";"37.440403";"55.850172";"92386928";
579;"Часы";"Барклая ул., д10-12 м ""Багратионовская""";"КП 098-01";"";"0.125";"Западный АО";"37.498421";"55.743155";"92386929";
580;"Часы";"Земляной вал ул., д3/1 стр7 пересечение с ул.Казакова";"КП 098-01";"";"0.125";"Центральный АО";"37.657277";"55.762923";"92386930";
581;"Часы";"Садовая-Каретная ул., д18/10 пересечение с ул.Каретный ряд";"КП 098-01";"";"0.125";"Центральный АО";"37.609557";"55.77299";"92386931";
582;"Часы";"Филевская Б. ул., д21/19 к1 пересесение с ул.Барклая";"КП 098-01";"";"0.125";"Западный АО";"37.494533";"55.747149";"92386932";
583;"Часы";"Люблинская ул., д165 3-опора пересечение с Новомарьинской ул.";"КП 098-01";"";"0.125";"Юго-Восточный АО";"37.745257";"55.650229";"92386933";
584;"Часы";"Буденного просп., д28 к2 пересечение с 5-й ул.Соколиной горы";"АЧС 2-900";"";"0.125";"Восточный АО";"37.73422";"55.763073";"92386934";
585;"Часы";"Новопесчаная ул., д14 к/т ""Дружба""";"КП 098-01";"";"0.12";"Северный АО";"37.512391";"55.796406";"92386935";
586;"Часы";"Вавилова ул., д55, пересечение с ул.Дм.Ульянова";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.561797";"55.691677";"92386936";
587;"Часы";"Вавилова ул., д57 к3 (на здании)";"ВНУ-2";"";"0.06";"Юго-Западный АО";"37.560068";"55.689776";"92386937";
588;"Часы";"Вавилова ул., д65а, пересечение с Кржижановского ул.";"АЧС-800";"";"0.08";"Юго-Западный АО";"37.554269";"55.685369";"92386938";
589;"Часы";"Варшавское шоссе, д14 стадион 'Труд""";"КП 098-04/1";"";"0.14";"Южный АО";"37.620532";"55.695915";"92386939";
590;"Часы";"Варшавское шоссе, д5 ф-ка им. Фрунзе";"КП 098-01";"";"0.12";"Южный АО";"37.62154";"55.701301";"92386940";
591;"Часы";"Варшавское шоссе, д89";"КП 098-01";"";"0.08";"Южный АО";"37.619835";"55.651547";"92386941";
592;"Часы";"Варшавское шоссе, д59 А развилка с Каширским ш.";"АЧС-800";"";"0.08";"Южный АО";"37.627263";"55.674833";"92386942";
593;"Часы";"Вернадского просп., пересечение с Университетским просп.";"КП 098-01";"";"0.12";"Западный АО";"37.535708";"55.693097";"92386943";
594;"Часы";"Лобачевского ул., пересечение с просп.Вернадского";"АЧС 2-900";"";"0.125";"Западный АО";"37.495013";"55.670777";"92386945";
595;"Часы";"Вернадского просп., д7 Цирк";"КП 098-01";"";"0.12";"Юго-Западный АО";"37.539378";"55.695386";"92386946";
596;"Часы";"Вернадского просп., д39 м. ""Пр-т Вернадского""";"КП-098";"";"0.125";"Западный АО";"37.505789";"55.676256";"92386947";
597;"Часы";"Вернадского просп., д84-86 м.""Юго-западная"" чет.ст.";"КП 098-01";"";"0.12";"Западный АО";"37.481951";"55.662304";"92386948";
598;"Часы";"Винокурова ул., д15,пересечение с ул.Б. Черемушкинская";"АЧС-800";"";"0.08";"Юго-Западный АО";"37.59318";"55.686161";"92386949";
